"gene","module"
"CTSS","Mid"
"AXDND1","Mid"
"STARD4-AS1","Mid"
"AC097467.3","Mid"
"ABCC11","Mid"
"PTPRQ","Mid"
"PAH","Mid"
"PTPRO","Mid"
"GLRA3","Mid"
"AC093866.1","Mid"
"SNAP25-AS1","Mid"
"LINC02359","Mid"
"SLC30A10","Mid"
"ANKRD34C-AS1","Mid"
"LINC00470","Mid"
"LINC02240","Mid"
"B4GALNT2","Mid"
"ANKRD30B","Mid"
"GRM7","Mid"
"CYBB","Mid"
"ASTL","Mid"
"RXFP1","Mid"
"LIPG","Mid"
"HLA-DQB1","Mid"
"SPAG17","Mid"
"LINC01102","Mid"
"AC005906.2","Mid"
"RFX4","Mid"
"NALCN","Mid"
"GABRA2","Mid"
"TSBP1","Mid"
"TEX15","Mid"
"CTNNA2","Mid"
"CFAP221","Mid"
"DMPK","Mid"
"AC007368.1","Mid"
"KIF14","Mid"
"ABCA4","Mid"
"KIF5A","Mid"
"SMC1B","Mid"
"AP005230.1","Mid"
"ROBO2","Mid"
"LINC01902","Mid"
"TRPA1","Mid"
"PROX1-AS1","Mid"
"CFAP43","Mid"
"IYD","Mid"
"AC092162.2","Mid"
"LINC02301","Mid"
"LTK","Mid"
"BDKRB2","Mid"
"LINC01551","Mid"
"AL355306.2","Mid"
"SHANK2","Mid"
"CCL18","Mid"
"PADI2","Mid"
"SLC6A5","Mid"
"KIAA0319","Mid"
"OSTN","Mid"
"PAPPA2","Mid"
"PPP2R2B","Mid"
"CFAP57","Mid"
"LINC00683","Mid"
"AL359208.1","Mid"
"ANKRD18B","Mid"
"AC009264.1","Mid"
"DLEU1","Mid"
"PIWIL1","Mid"
"WT1","Mid"
"MIR137HG","Mid"
"IL31RA","Mid"
"RRP12","Mid"
"ARMC3","Mid"
"HLA-DQA1","Mid"
"MCAM","Mid"
"LINC00960","Mid"
"LINC02201","Mid"
"ITGB2","Mid"
"TNFRSF10D","Mid"
"DLGAP2","Mid"
"IGSF22","Mid"
"AC008591.1","Mid"
"ITGA10","Mid"
"AL390964.1","Mid"
"XDH","Mid"
"KCNK10","Mid"
"MYO16","Mid"
"LINC01446","Mid"
"CTCFL","Mid"
"AC007493.1","Mid"
"LINC01470","Mid"
"TMCO5A","Mid"
"DIAPH3","Mid"
"MALRD1","Mid"
"EHF","Mid"
"AC007179.2","Mid"
"PART1","Mid"
"POT1-AS1","Mid"
"AL021877.2","Mid"
"MDGA2","Mid"
"MAPK10","Mid"
"AC096570.1","Mid"
"SYCP1","Mid"
"SIGLEC1","Mid"
"PCAT1","Mid"
"CORIN","Mid"
"CYP4V2","Mid"
"LINC01440","Mid"
"ADAM7","Mid"
"LINC02405","Mid"
"ZBTB8B","Mid"
"PLG","Mid"
"FUT9","Mid"
"LRRIQ1","Mid"
"DDX3Y","Late"
"ANKRD1","Late"
"COL1A1","Late"
"ATP6V1FNB","Late"
"EGR1","Late"
"COL3A1","Late"
"NR4A3","Late"
"SOCS3","Late"
"JUNB","Late"
"ATF3","Late"
"ADAMTS4","Late"
"SFRP2","Late"
"IL6","Late"
"MXRA5","Late"
"COL1A2","Late"
"SFRP4","Late"
"OTUD1","Late"
"THBS1","Late"
"MYH3","Late"
"ZFP36","Late"
"CDKN1A","Late"
"FOS","Late"
"TNC","Late"
"SELE","Late"
"XIRP1","Late"
"CXCL2","Late"
"CISH","Late"
"GADD45B","Late"
"MYC","Late"
"HLA-DRB5","Late"
"CCDC80","Late"
"MAFF","Late"
"MYBPH","Late"
"SLC2A3","Late"
"BGN","Late"
"FNDC1","Late"
"CSF3","Late"
"CXCL8","Late"
"COMP","Late"
"PTGS2","Late"
"NR4A1","Late"
"AL512603.2","Late"
"BTG2","Late"
"PIEZO2","Late"
"AEBP1","Late"
"HBEGF","Late"
"ICAM1","Late"
"LUM","Late"
"THBD","Late"
"PRG4","Late"
"GPRC5A","Late"
"COL14A1","Late"
"SERPINE1","Late"
"ELN","Late"
"CSRNP1","Late"
"APOLD1","Late"
"MT2A","Late"
"OGN","Late"
"NNMT","Late"
"PRUNE2","Late"
"TNFRSF12A","Late"
"C11orf96","Late"
"ASPN","Late"
"EGR3","Late"
"COL5A1","Late"
"NR4A2","Late"
"TRIM63","Late"
"MPZ","Late"
"CSF3R","Late"
"SPON1","Late"
"HMOX1","Late"
"DHCR24","Late"
"KLHL40","Late"
"HSPA1B","Late"
"MMP19","Late"
"LRRC15","Late"
"THY1","Late"
"PLAUR","Late"
"ADAMTS2","Late"
"FN1","Late"
"SEMA4A","Late"
"NFIL3","Late"
"HK2","Late"
"CCN3","Late"
"NFKBIZ","Late"
"IER5","Late"
"ATP6V1F","Late"
"PDK4","Late"
"IRF1","Late"
"MIR503HG","Late"
"MIDN","Late"
"SPARC","Late"
"ANGPTL4","Late"
"MGP","Late"
"IER2","Late"
"CRISPLD2","Late"
"HSPA1A","Late"
"ADAMTS1","Late"
"ADAM12","Late"
"AC020916.1","Late"
"IER3","Late"
"CILP2","Late"
"RRAD","Late"
"LIF","Late"
"WNT9A","Late"
"CCN2","Late"
"LDLR","Late"
"RGS16","Late"
"FKBP5","Late"
"TREM1","Late"
"ITGAX","Late"
"FOSL1","Late"
"SLC11A1","Late"
"DNAJB1","Late"
"TRIB1","Late"
"RASD1","Late"
"CEBPD","Late"
"MAP1A","Late"
"MGAM","Late"
"COL11A1","Late"
"SGK1","Late"
"GLUL","Late"
"LOX","Late"
"MMP2","Late"
"EMP1","Late"
"COL5A2","Late"
"RGS2","Late"
"FCGR3B","Late"
