sample_id,ES_positive,ES_control,CPS,CPS_zscore,subgroup,CPS_class
AB_73,0.17967205497448827,-0.48047274382926025,0.6601447988037485,1.4606020365533534,Colorectal,CPS-High
AB_74,-0.7037549951772742,-0.6455004667777351,-0.05825452839953915,-0.12889093873496862,Colorectal,CPS-LowOrMid
AB_75,-0.6334550812341455,-0.3457318947703207,-0.28772318646382483,-0.636601353027727,Pancreas,CPS-LowOrMid
AB_76,0.1704779420437465,-0.21028801235265737,0.38076595439640387,0.8424629406296412,Colorectal,CPS-High
AB_77,-0.21706688809634997,0.8750622868717389,-1.0921291749680888,-2.416388192451614,Colorectal,CPS-LowOrMid
AB_78,-0.5477239106019478,-0.47859665900039444,-0.06912725160155336,-0.1529473604177879,Pancreas,CPS-LowOrMid
AB_79,-0.5531614859168855,-0.28886973997030674,-0.2642917459465788,-0.5847581668042109,Pancreas,CPS-LowOrMid
AB_80,-0.3185120683270899,0.24063723386967636,-0.5591493021967663,-1.2371446552421828,Colorectal,CPS-LowOrMid
AB_81,-0.4998211300715643,-0.24349263198702056,-0.2563284980845437,-0.5671390988876804,Colorectal,CPS-LowOrMid
AB_82,0.6416832188864321,-0.4607098832982772,1.1023931021847093,2.439097623810912,Pancreas,CPS-High
AB_83,-0.20689766085827824,0.1560528285384241,-0.3629504893967023,-0.8030453696545123,Colorectal,CPS-LowOrMid
AB_84,0.6205388375917984,0.5698347249061769,0.05070411268562147,0.11218528175099036,Pancreas,CPS-LowOrMid
