gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
AC107398.3,1.229741995073924,0.0008376172045661518,0.0037283302599059,9.11596654566674,0.3677545992920206,3.340055262257126
AC091946.1,1.3482130795670093,0.0008379936047441265,0.0037290767583545,2.767518363446196,0.4015481537322554,3.339930493115953
AC015911.2,1.6273212844655591,0.0008382548662476557,0.003729774951439,1.9448873496564825,0.4812030933459721,3.339843920705147
SLC9C1,0.67070027074781,0.0008391792061184449,0.0037329582360294,35.67909727372033,0.2008302740456699,3.3395378294019147
AC123768.4,1.2828194538781983,0.0008393209971796437,0.0037331243058128,4.220157261446479,0.3826639867109314,3.3394909035494567
AP1M2,1.5019526002088568,0.0008394786926511847,0.0037333610649537,5.501985076366513,0.4483953417069748,3.3394387227568445
STX18-IT1,0.5523541619566263,0.0008399766816064115,0.0037351109427958,13.122543275570337,0.1653994222346209,3.3392739998986056
KRT8,1.0182177700030668,0.0008409788313867845,0.0037378121554915,16.400072294795365,0.3047557916977803,3.338942787051661
GK-AS1,1.5500973821820203,0.0008410025055209482,0.0037378121554915,1.7122015598615228,0.4572984004690091,3.3389349671220554
LINC01764,1.386259492439515,0.0008409035149942152,0.0037378121554915,4.145225352103651,0.4132040557443688,3.3389676665694115
AC025437.1,1.5726944286675102,0.000841286067322203,0.0037386074948969,1.6986284616867424,0.4631475211635709,3.338841318175717
LINC00604,1.467161571187235,0.0008415863301131,0.0037394768451553,3.567005201816172,0.4370980004113097,3.3387421854801764
SSTR2,0.8704265333604337,0.0008418727718060955,0.0037398196542953,27.33878100563422,0.2606770899287065,3.338647646433533
XPO4,-0.5797956261643765,0.0008418590259276497,0.0037398196542953,10162.477892655916,0.173662091220909,-3.338652182529528
OR2A14,1.4159542698165517,0.0008421206357580637,0.0037402838894731,3.197541191409084,0.4213793647437888,3.3385658639061977
AC023161.1,1.419347514981697,0.0008421865929428166,0.0037402838894731,4.033759805662097,0.4233437576700455,3.3385441051430123
DPH6-DT,0.7560853802562361,0.000842678397244044,0.0037420030517777,14.085834759800964,0.2264190173792344,3.3383819125347545
HAND1,1.4541109712803977,0.0008431348733815181,0.0037426349652103,1.8072343808304931,0.4296145207471782,3.338231449379589
LINC01607,0.9567870780070796,0.0008430457404597931,0.0037426349652103,12.059401658596652,0.2864465098520944,3.338260823336572
FAM133A,1.471675625485835,0.0008436744318656614,0.0037445649336829,6.586295587018328,0.4395835384006183,3.338053698118248
AC126182.3,1.3399628438656892,0.0008438089425955456,0.0037446968819669,4.407080318874173,0.39995799184951,3.3380094015433217
BICDL1,1.1119412909422046,0.0008441908554685158,0.0037459265945783,13.023395670586366,0.3328847936308413,3.337883667098596
UGT1A8,1.549350768790187,0.0008446492224370375,0.0037470300287307,2.230940956322001,0.4588704121299073,3.3377328318573105
AC009055.2,1.416652833897596,0.0008446322008454414,0.0037470300287307,3.531878104991321,0.4221941739916942,3.3377384318107297
AL121790.2,1.5444775792638803,0.0008448283153849208,0.0037473593564883,2.514170023353268,0.458337425678402,3.3376739182012725
TRIM60,1.3879835809012846,0.0008451232937605525,0.003747737470209,4.229637644685041,0.4142041009665067,3.337576908613124
MYT1L-AS1,1.4729471430435386,0.0008450244280788371,0.003747737470209,5.588674873030408,0.4398827387651429,3.337609419087161
BNIP5,1.4392874658228516,0.0008454635940799383,0.0037483163286476,10.180563910421188,0.430630605449717,3.337465032994777
AIPL1,1.550349094326531,0.0008458743936006948,0.0037487424452506,4.301747094560451,0.4625594097625581,3.337330035998413
AC093765.4,1.2986094737715512,0.0008458586837666751,0.0037487424452506,8.627137470889048,0.3884938224375404,3.337335197447949
AL445584.2,1.562610670622582,0.0008456884052358634,0.0037487424452506,2.0772002561066576,0.4624150356643431,3.3373911479864
ANXA10,1.5104681174400123,0.0008459799206654884,0.0037487452454734,5.666672380466798,0.4508560875440709,3.337295367495902
AC241644.2,1.3917149088527208,0.0008461515807564432,0.003749041060386,3.1773392661913946,0.4146532318305946,3.337238981068833
AC003070.2,1.683248865811915,0.0008464037090279053,0.003749693287869,1.4195472913459906,0.4951909480642389,3.3371561819108986
SLC36A3,1.4182615637392149,0.0008476855380187118,0.0037549065143421,9.395756545161158,0.4243951352593063,3.3367355815405406
AC138420.1,1.6473328787977235,0.000848447595452612,0.0037578163547261,2.137092232286084,0.4874798987866346,3.336485810804406
AC093433.2,0.9057031324137604,0.0008494880040457775,0.0037619581522413,7.680635798891568,0.271279766708707,3.3361451438591616
AL031772.1,0.403119827581228,0.0008496040639281377,0.003762005951761,59.72073349183684,0.1208369682514519,3.3361071657006485
AC008592.1,1.230760448470279,0.0008497405715780792,0.0037621442699526,3.617468338121219,0.3676402812526211,3.336062502596969
AL512785.1,1.6471615429767157,0.0008501162534445842,0.0037633413434414,1.3551825661328605,0.4817608677812907,3.3359396198906643
KRT76,1.368967643158924,0.0008502966242532814,0.0037636736137681,7.542787891497634,0.4096093664244893,3.3358806398525447
CA6,1.3872358173814034,0.0008504396447362672,0.0037638404982767,4.978739007429694,0.4145872701892345,3.3358338813663573
DMRTA1,0.4127986445661243,0.0008507333233996916,0.0037646740356188,50.371343525312206,0.1237509049765379,3.3357378902167385
ZBTB32,1.3712366811354133,0.0008515067654690653,0.0037676301577731,3.874768003460428,0.4097242647564775,3.335485231643988
DEFB132,1.4612838257284784,0.0008521101095285748,0.0037698330148962,3.949694268067087,0.4361710066189128,3.33528828633183
BBOX1,1.3066456068762509,0.000852349015062707,0.0037701385080576,8.336558741878076,0.3910816938193409,3.335210337837685
CAVIN2-AS1,0.6657201674762122,0.0008523901490040184,0.0037701385080576,27.30136150937207,0.1995949049438211,3.3351969189760973
AL121827.1,1.4657801859951305,0.0008529082074860757,0.0037719630638704,2.612725483617135,0.4361465895740628,3.3350279674743697
LINC01054,1.667446137035726,0.0008533251122265529,0.0037733398738867,1.889030993408192,0.4925588978378914,3.3348920737704857
AC097639.1,1.0036067164056286,0.00085357952147503,0.0037739978892087,5.187002749537361,0.3005515499291692,3.334809177124508
UPK1A-AS1,1.651362827961817,0.0008538408864035163,0.003774686491624,1.872522365837283,0.4881126688423949,3.334724037899475
LINC00898,1.4381035672978904,0.0008543816010664174,0.0037766097289933,6.040669465906722,0.4302104356621873,3.3345479776211118
AC109460.1,1.3680437961595906,0.0008549591691288256,0.0037786953730306,3.8276750885206328,0.4084618949861421,3.3343600317304345
AC009558.1,1.574184211227885,0.0008550893129688447,0.0037788032480376,2.6233692843552143,0.4678456449924104,3.334317697998808
AC055878.1,1.2916714883436384,0.0008561185243274762,0.0037828837564806,4.918403490059484,0.3862960147114253,3.333983122144971
LINC01615,1.315997457226469,0.0008565252840484382,0.0037842132032789,5.254357116457768,0.3937377685276532,3.3338509955931874
