gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
TTYH1,1.3631112480177447,1.705629246493763e-07,5.300502435756008e-05,14.828212789444606,0.2604180403322858,5.228855154488986
LINC02341,1.673650357204668,1.730967424964143e-07,5.332871882186943e-05,9.613627856257056,0.3193342769281401,5.226127796437654
CLEC4M,2.2829870575737305,1.788815602464432e-07,5.463766312341066e-05,5.811148926782743,0.4323093204256264,5.2200430336942345
LINC01814,1.47472838052886,1.804030513336633e-07,5.463766312341066e-05,22.840200239966627,0.2823777450472399,5.218474252000683
PRSS57,2.439765907868084,1.8996291656753686e-07,5.704953539740026e-05,2.0416675979861822,0.4477958552871796,5.208900525444014
POTED,1.9888935242468957,1.9361893122039013e-07,5.766294469961919e-05,8.127774498011139,0.3800551162919661,5.2053618642173225
H3-2,1.79840853149836,1.952642963792537e-07,5.767235887604767e-05,5.162999472199315,0.3431513299506964,5.2037903389596885
LINC01291,1.7720340593277175,2.0175756282763226e-07,5.8543529396797984e-05,13.89110905090131,0.3402207899566706,5.197710915089498
FCHO1,1.1118112937850484,2.02249235071004e-07,5.8543529396797984e-05,19.875748574298783,0.2138280691327383,5.197258311778547
PNLIP,1.967607342212355,2.040149629671716e-07,5.8543529396797984e-05,7.032345863690299,0.3763454525902526,5.195641611711001
CACNA1F,1.6205594922570492,2.0476638800715618e-07,5.8543529396797984e-05,15.593498634960696,0.3114399539986396,5.1949577053452165
CTNNA2,1.5168922840167705,2.1318464918391574e-07,6.0466611051863344e-05,34.76515269059156,0.2922489024829895,5.187457418652106
TF,1.2669075228963886,2.189445070430273e-07,6.152536126502643e-05,62.42907745812965,0.2444115207092884,5.1824888089524
AL133325.2,2.2052782415318,2.203605753518212e-07,6.152536126502643e-05,5.012290824445083,0.4206661876970029,5.181286620487404
GSTA5,2.3383267398114445,2.2449686127867797e-07,6.203848806764972e-05,3.491462626843947,0.441071161669923,5.177817346030197
