gene,spearman_rho,pvalue,padj
INO80C,-1.0,0.0,0.0
INO80D,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INO80E,0.39999999999999997,0.6,0.6497629043462503
INPP1,-1.0,0.0,0.0
INPP4A,-0.39999999999999997,0.6,0.6497629043462503
INPP4B,0.19999999999999998,0.8,0.8188409934341992
INPP5A,-1.0,0.0,0.0
INPP5B,-0.6000000000000001,0.3999999999999999,0.5121777015927432
INPP5D,1.0,0.0,0.0
INPP5E,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INPP5F,-0.19999999999999998,0.8,0.8188409934341992
INPP5J,-0.39999999999999997,0.6,0.6497629043462503
INPP5K,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INPPL1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INS,-0.19999999999999998,0.8,0.8188409934341992
INSC,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSIG1,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSIG2,0.39999999999999997,0.6,0.6497629043462503
INSL3,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSL4,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSL5,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSL6,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSM1,0.6000000000000001,0.3999999999999999,0.5121777015927432
INSM2,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSR,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INSRR,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSYN1,1.0,0.0,0.0
INSYN2A,0.7999999999999999,0.20000000000000007,0.29498148909913624
INSYN2B,0.7999999999999999,0.20000000000000007,0.29498148909913624
INTS1,-1.0,0.0,0.0
INTS2,0.19999999999999998,0.8,0.8188409934341992
INTS3,0.19999999999999998,0.8,0.8188409934341992
INTS4,-0.39999999999999997,0.6,0.6497629043462503
INTS5,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INTS6,-0.19999999999999998,0.8,0.8188409934341992
INTS6L,1.0,0.0,0.0
INTS7,-0.39999999999999997,0.6,0.6497629043462503
INTS8,-1.0,0.0,0.0
INTS9,-0.19999999999999998,0.8,0.8188409934341992
INTS10,0.19999999999999998,0.8,0.8188409934341992
INTS11,-1.0,0.0,0.0
INTS12,-0.39999999999999997,0.6,0.6497629043462503
INTS13,-1.0,0.0,0.0
INTS14,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INTU,0.7999999999999999,0.20000000000000007,0.29498148909913624
INVS,-0.6000000000000001,0.3999999999999999,0.5121777015927432
IP6K1,-0.39999999999999997,0.6,0.6497629043462503
IP6K2,0.39999999999999997,0.6,0.6497629043462503
IP6K3,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IPCEF1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IPMK,0.7999999999999999,0.20000000000000007,0.29498148909913624
IPO4,0.7999999999999999,0.20000000000000007,0.29498148909913624
IPO5,-1.0,0.0,0.0
IPO7,-1.0,0.0,0.0
IPO8,-0.6000000000000001,0.3999999999999999,0.5121777015927432
IPO9,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IPO11,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IPO13,-1.0,0.0,0.0
IPP,-1.0,0.0,0.0
IPPK,0.6000000000000001,0.3999999999999999,0.5121777015927432
IQANK1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCA1,0.7999999999999999,0.20000000000000007,0.29498148909913624
