cluster,TF,overlap,odds_ratio,pvalue,padj
3,WT1,6.0,1.6678606719367588,0.22401066448309112,
3,WWTR1,2.0,1.5285762788592123,0.4577303822875518,
3,XBP1,2.0,0.5557018807358327,0.8674553646565126,
3,YBX1,1.0,0.6113386896005432,0.8169941664961439,
3,YY1,9.0,1.8349983010533468,0.11300523037358014,
3,ZBTB16,3.0,1.3102110113994665,0.4638592609232222,
3,ZBTB33,1.0,0.7642016521443928,0.7571168691280451,
3,ZBTB7A,2.0,1.5285762788592123,0.4577303822875518,
3,ZEB1,1.0,0.2546584436648938,0.9747752424086789,
3,ZEB2,2.0,1.5285762788592123,0.4577303822875518,
3,ZFP148,0.0,0.0,1.0,
3,ZFP36,4.0,3.0578446909667196,0.10899322467058703,
3,ZNF148,3.0,1.5286361063950198,0.38949107910560576,
3,ZNF382,3.0,1.3102110113994665,0.4638592609232222,
