cluster,TF,overlap,odds_ratio,pvalue,padj
0,RARA,5.0,0.7470776772247361,0.7882825332333764,
0,RB1,13.0,1.4571411251212416,0.35623207581548216,
0,RBL1,5.0,2.241637039431157,0.3998149166804603,
0,RBL2,8.0,1.7933653885005454,0.35775333684118343,
0,RBMX,4.0,0.44818809841231366,0.9343220101369897,
0,RBPJ,11.0,0.7043043031485609,0.8378944704003664,
0,REL,22.0,3.289400983761202,0.026591250648971807,
0,RELA,77.0,1.078912581037277,0.4034588573588564,
0,RELB,4.0,1.7932371833717125,0.5087055327467294,
0,REST,14.0,6.278866750191973,0.029834522660971162,
0,RFX1,10.0,0.8965127086111447,0.6931196628373273,
0,RFX5,,,,
0,RFXANK,,,,
0,RFXAP,,,,
0,RNF2,6.0,2.69007312835845,0.3095908294427123,
0,RORA,8.0,1.195469177205813,0.541623033146557,
0,RUNX1,14.0,3.1391504667986907,0.0861299710991021,
0,RUNX2,39.0,1.457621975888017,0.15958232795620278,
0,RUNX3,6.0,2.69007312835845,0.3095908294427123,
0,RXRA,9.0,2.0176175852594147,0.2888022007266687,
0,SALL4,4.0,0.5976379967411357,0.861302271685183,
0,SATB1,6.0,inf,0.10834485239407438,
0,SF1,9.0,0.8068288346533053,0.7559286727984227,
0,SFPQ,4.0,0.8965377933987799,0.7264867648792672,
0,SIN3A,4.0,0.5976379967411357,0.861302271685183,
0,SIRT1,15.0,0.746975453345189,0.8211820743789535,
0,SIX1,9.0,0.8068288346533053,0.7559286727984227,
0,SMAD1,20.0,2.990122758081686,0.04422526015839159,
0,SMAD2,17.0,3.812287793047696,0.03851840948571664,
0,SMAD3,37.0,1.8441792520676017,0.06109007256253483,
0,SMAD4,34.0,3.0511022125146625,0.007828790245820805,
0,SMAD5,7.0,1.5691313131313132,0.43764193398137874,
0,SMAD7,3.0,0.26887775713016077,0.9866824191785567,
0,SMARCA4,17.0,3.812287793047696,0.03851840948571664,
0,SNAI1,19.0,1.4198668714797746,0.30360756621741203,
0,SNAI2,8.0,1.7933653885005454,0.35775333684118343,
0,SOX10,9.0,1.3449571682560206,0.46336594309805057,
0,SOX17,9.0,4.035598836269598,0.13501059404875485,
0,SOX2,21.0,2.3546046248382924,0.07519832167594415,
0,SOX4,4.0,0.8965377933987799,0.7264867648792672,
0,SOX5,4.0,1.7932371833717125,0.5087055327467294,
