gene,log2FC,p_value,FDR
AKAP11,0.7405519424098992,1.0415395390844961e-12,
AKAP13,0.7589675297657673,5.339169959713789e-14,
AKIP1,0.7159372387862067,1.0441887007197746e-12,
AKIRIN1,0.6634269456142832,3.7649562695807354e-11,
AKIRIN2,0.6867969187179717,2.1891489851195823e-10,
AKNA,0.6131035192901872,0.0033142390278707782,
AKR1A1,0.7171663357726464,1.5471578403171313e-07,
AKR1B1,0.7740574830038406,7.985754453999176e-15,
AKR1B10,0.5399677814504907,0.00196924636490372,
AKR1C1,0.6325596300475752,0.001198338935681689,
AKR1C2,1.0666673665081559,2.4543858659298648e-06,
AKR1C3,0.9841170820056002,4.733856845291706e-05,
AKR1E2,0.5335164578812518,3.6547843752621596e-06,
AKR7A2,0.7287614309990673,7.134195035508103e-14,
AKT1,0.7469162539775631,4.939872420994031e-14,
AKT1S1,0.7704009238484528,1.1829616066235248e-13,
AKT2,0.7295805596836257,3.164148430759219e-14,
AKT3,0.7297662191056042,8.28371128926259e-08,
AKTIP,0.7482469443087925,1.8837397681154255e-14,
AL022238.3,0.8630106714856723,1.6226160556177507e-06,
AL031315.1,1.029326670607235,0.0029901408568980877,
AL031708.1,0.4953608343658736,0.0004451389113050045,
AL049697.1,0.391139231553017,0.0068947828671385,
AL110118.1,0.8815553493083216,1.4533580000672786e-06,
AL117339.4,0.47160441246379303,0.002346017480816152,
AL121753.1,0.8400269545921545,2.260913103458699e-08,
AL135905.2,0.6639115026590487,1.3056119721487484e-07,
AL136295.5,0.8428352012093739,8.715987226861705e-05,
AL139142.2,-1.800928650593981,0.00970091648107476,
AL139353.1,0.7175075300842458,6.851945165654024e-07,
AL357556.3,0.37968623752498126,0.006610690969424803,
AL358113.1,0.8067786277611215,2.351835708404762e-10,
AL360181.3,0.6829376602050521,0.00032213514655324174,
AL391628.1,0.7322269046113492,0.0011372706124398188,
AL590560.2,0.733774514966402,9.025287593308046e-07,
ALAD,0.6983593825371038,1.4210241046802346e-12,
ALAS1,0.7537737651027584,7.065018661066831e-10,
ALCAM,0.5317647871880932,0.007522787093326473,
ALDH1A1,0.7796329373811729,1.4106590366779975e-08,
ALDH1A3,0.7661659351166338,0.008034801857902682,
ALDH1B1,0.7906375271113899,3.481845578977241e-05,
ALDH1L1,0.6925185669259628,8.71164895912353e-08,
ALDH2,0.5136150214801074,0.00013406281095209893,
ALDH3A2,0.7548789442629286,2.216783570754673e-11,
ALDH3B1,0.5540994848040774,0.0006122481800784685,
ALDH4A1,0.7183823677270744,1.6912759803641147e-12,
ALDH5A1,0.8096800228277757,2.6672610899057694e-11,
ALDH6A1,0.8247002519835571,1.619660428085504e-08,
ALDH7A1,0.6584909881438019,6.598338223127835e-09,
ALDH8A1,0.4064021608452424,0.008633955716479996,
ALDH9A1,0.7541351892320992,7.900594478794412e-14,
ALDH16A1,0.6914929568672199,3.5136195771608943e-07,
ALDH18A1,0.6694661513264524,0.0005231986187556935,
ALDOA,0.760491677679998,2.3559864751792285e-10,
ALG1,0.7237441192493419,1.5920034919507573e-10,
ALG1L,0.49440190961813213,0.0022213825630432865,
ALG2,0.6557959397537949,9.855782865812322e-09,
ALG3,0.6569967588401273,3.0716144690608e-10,
ALG5,0.5712223108283673,9.69411574160656e-09,
ALG6,0.57700889776651,2.8969710146219927e-11,
ALG8,0.6565382222581024,5.895796020906886e-11,
ALG9,0.6849152285589053,2.7407095363935277e-12,
ALG10,0.6245852728502003,6.106751254476131e-11,
ALG10B,0.6157708365716676,6.640304003211585e-11,
ALG11,0.7089300693609364,2.435598176628704e-13,
ALG12,0.7199225181162479,1.6053978451191666e-12,
ALG13,0.6358655975833095,2.7447391380009966e-08,
ALG14,0.6024250248390934,5.7047010164386e-10,
ALKBH1,0.7240193609393213,1.805713190340134e-13,
ALKBH2,0.46735447629240573,6.683430049056645e-05,
ALKBH3,0.7138974634591881,4.833919780240885e-15,
ALKBH4,0.7048379161998047,2.7167945061606484e-08,
ALKBH5,0.7405636551192403,4.2362695005355726e-13,
ALKBH6,0.7471258422976962,6.744765489174643e-08,
ALKBH7,0.7819803883529417,1.9692799223080023e-10,
ALKBH8,0.7044296070715608,2.6139426004808762e-12,
ALLC,-1.0524674197908315,0.009864701651984518,
ALMS1,0.6818871231546546,1.2810427017065923e-12,
ALOX5AP,0.6286160899442611,0.004298434438456597,
ALPK1,0.5216632468210953,0.0010636975531147835,
ALPK2,0.5977190828805566,2.2338858243600836e-06,
ALPK3,0.5740366613876767,2.0383012231386112e-05,
ALS2,0.7298460613063433,1.3969213090860961e-15,
ALS2CL,0.8022095518946865,3.005040805843462e-12,
ALX4,1.0281109243551145,0.004393498220037721,
ALYREF,0.6894644271561418,4.739193429864432e-13,
AMBRA1,0.6631167156698986,4.121748654064685e-13,
AMD1,0.5109515091327943,2.0892515868784257e-06,
AMDHD2,0.6938567224951376,3.696108527746321e-08,
AMER1,0.75302997987058,1.020997646637292e-09,
AMFR,0.7309074135041119,1.7941607351822396e-12,
AMH,0.7991749592977758,2.7331303722196403e-05,
AMIGO1,0.7555048800616215,1.9844579781692483e-08,
AMMECR1,0.5610207790025267,1.3508618161863453e-07,
AMMECR1L,0.6726129998531707,7.644426114473773e-12,
AMN1,0.7249624625538079,6.298513767766817e-10,
AMOT,0.6748116323806322,5.055358327656236e-08,
AMOTL1,0.5779553335799487,3.077937516622231e-05,
AMOTL2,0.49260589257786647,0.0005765201181349195,
AMPD1,0.7564262356551227,1.0738475605549605e-09,
AMY1C,-1.4813107167036028,0.005488964893053789,
AMY2B,0.7167840751890507,1.2455813156684524e-11,
AMZ2,0.7636881699709985,3.9921934281091096e-16,
ANAPC1,0.6735849071486285,3.7340141742639274e-14,
ANAPC2,0.7069765139172923,1.356876960475606e-12,
ANAPC4,0.6006005166241474,5.2556708997085456e-09,
ANAPC5,0.7575980519602284,2.787445808366266e-14,
ANAPC7,0.7036289978749832,8.067299227233072e-13,
ANAPC10,0.7068433703129635,1.7371290151030315e-11,
ANAPC11,0.750108938959589,7.095790716709211e-13,
ANAPC13,0.7637423674153077,1.1100766424057413e-13,
ANAPC15,0.7322856148527723,7.242872807724021e-14,
ANAPC16,0.7720480791100294,2.1956691540758797e-14,
ANGEL1,0.742928681774571,3.6305523369460246e-15,
ANGEL2,0.7334216168061761,3.2527672074224505e-15,
ANGPT1,0.6641624611871009,4.633106217161744e-08,
ANGPTL1,0.8041263556115515,8.0654293350444e-06,
ANGPTL2,0.7434922952886546,0.0023428891696445995,
ANK1,0.8324494545216697,1.5369391143922107e-10,
ANK2,0.7672683021315551,5.674286623429027e-09,
ANK3,0.7362709514080078,3.4691043034167268e-12,
ANKAR,0.7422703575124044,7.815821025053729e-14,
ANKFY1,0.6322457312616885,0.0004559712937323232,
ANKH,0.6813643673813682,8.429177514667966e-11,
ANKHD1,0.7764239630652249,4.393718633946705e-14,
ANKHD1-EIF4EBP3,0.8238984837733695,5.503408012358099e-14,
ANKIB1,0.6816197214682176,1.8324888530757073e-12,
ANKLE2,0.6756312092752869,1.8956176163066752e-11,
ANKMY1,0.7479078318423612,5.068611824000175e-11,
ANKMY2,0.7551244692349371,7.73282973825418e-16,
ANKRA2,0.7375578293212349,5.318635044820939e-10,
ANKRD6,0.5979086536465748,2.2702469892823444e-06,
ANKRD9,0.8051353856178977,4.390411202961565e-10,
ANKRD10,0.6903234715673783,1.235468039939437e-12,
ANKRD11,0.776794012482935,1.671554976180534e-16,
ANKRD12,0.6775501648108706,4.689170114454188e-11,
ANKRD13A,0.666215445864598,8.129062769818471e-11,
ANKRD13B,0.8368068691202615,2.442173261183972e-06,
ANKRD13C,0.7192495843355453,1.3292194895081984e-14,
ANKRD13D,0.7769573806168484,2.897957555618783e-06,
ANKRD16,0.8461040197119205,2.5306027806398833e-16,
ANKRD17,0.6867506536072946,7.057503118733526e-14,
ANKRD23,0.5218532298183984,0.00014147722540793517,
ANKRD26,0.6029585165917688,1.738399528249277e-11,
ANKRD27,0.6525644685978437,1.291220430928134e-07,
ANKRD28,0.7456544925681456,9.793698943810012e-12,
ANKRD29,0.6715523550132415,8.104680695113686e-05,
ANKRD33B,0.7910560770909646,0.0004398546060247091,
ANKRD34A,0.7017602628838829,0.0002685834951736972,
ANKRD35,0.4086355047196224,0.003476641827159543,
ANKRD36,0.6718835701030769,6.066242012743594e-10,
ANKRD36B,0.7839205797763753,1.1317385676449852e-06,
ANKRD36C,0.6332417027052756,1.9979945437250884e-07,
ANKRD37,0.4115884859458157,0.0059530619551182145,
ANKRD39,0.5273931724321846,0.0002720015973114381,
