gene,log2FC,p_value,FDR
NEK5,2.080578862327432,6.807443651153597e-09,4.1524318413306715e-06
AC079209.1,2.2643896850900522,6.18703792628165e-09,4.1524318413306715e-06
RNASEH2B-AS1,1.57547068862784,7.821031095605963e-09,4.3282789318636564e-06
SP140,2.139468920403097,7.730225544886922e-09,4.3282789318636564e-06
AC010478.1,2.429081931490442,8.632811950348348e-09,4.566757521734276e-06
AC100849.2,2.6013683862258863,8.552174057135913e-09,4.566757521734276e-06
LDHAL6A,2.1852458004416935,8.5101569257053e-09,4.566757521734276e-06
BASP1-AS1,2.662601774979787,9.337558162940845e-09,4.867980322279827e-06
AC018442.2,1.8620632372593973,9.478023077265237e-09,4.87062065907693e-06
C18orf63,2.6651328491620907,9.968153445124667e-09,5.050343883493303e-06
AC006450.3,2.483254732747745,1.1007575232783688e-08,5.462098690826469e-06
SACS-AS1,1.951602244157454,1.1084543657020246e-08,5.462098690826469e-06
DSC3,2.207429375828411,1.1271588366382193e-08,5.4792104961554085e-06
STXBP5-AS1,1.6057928159843768,1.1655960767359328e-08,5.590509609645997e-06
SLCO1A2,2.5260275788376325,1.242123544007563e-08,5.728418990389751e-06
SLC26A8,2.4376991574069926,1.2342448036874143e-08,5.728418990389751e-06
AC009962.1,1.1742106342638423,1.2248625890361582e-08,5.728418990389751e-06
AL031590.1,1.667654903340197,1.2752723348395207e-08,5.763272696908493e-06
CD244,1.9861303703739954,1.3129860904476853e-08,5.763272696908493e-06
AL590068.4,2.872906912917409,1.3137672666143013e-08,5.763272696908493e-06
CIT,1.5773403256317355,1.3087377079808852e-08,5.763272696908493e-06
AC068989.1,1.7093970001250038,1.3351338776663774e-08,5.786438053905413e-06
CKAP2L,1.9373387866094558,1.3523690778995566e-08,5.7913595797860535e-06
AC007277.1,2.2899247771891678,1.376633814227963e-08,5.82591430181274e-06
SERPINI2,1.6755714271839428,1.4070708350728158e-08,5.879065771435093e-06
CDKN2B-AS1,2.1679314341883766,1.4218801348683782e-08,5.879065771435093e-06
MARVELD2,1.7496313260685192,1.5268115624530705e-08,6.241189264154755e-06
AL137025.1,2.3727658462393677,1.5585967750089332e-08,6.2995329427664435e-06
LINC01705,2.0672459762595827,1.598552978039486e-08,6.319027222641362e-06
PCSK1,2.301864390751368,1.5978841172955048e-08,6.319027222641362e-06
CTNNA2,1.9300965963942802,1.6949603776554448e-08,6.4177131827376955e-06
CCNB2,1.8454006184963552,1.766244871263849e-08,6.4177131827376955e-06
SPOCD1,2.2082993017014787,1.764394612040626e-08,6.4177131827376955e-06
LINC01650,2.3188053766867553,1.668028846623659e-08,6.4177131827376955e-06
CPB1,1.4440459774683794,1.7620018855758585e-08,6.4177131827376955e-06
SLC6A11,2.564784618614639,1.6627512372900688e-08,6.4177131827376955e-06
NEUROG2,2.3113653013913757,1.740388701297896e-08,6.4177131827376955e-06
AC012178.1,2.38146176201747,1.7244013186244373e-08,6.4177131827376955e-06
OR56A1,2.2063306477564266,1.7921835371981203e-08,6.446842620009078e-06
CSMD2-AS1,2.6859165208575897,1.818178915532649e-08,6.475597222726777e-06
SDR42E1,2.0592764576063107,1.8916673605028327e-08,6.671280224706656e-06
BAALC-AS1,1.2563184856606224,2.0473632394361878e-08,7.093743547727338e-06
CPA4,2.2622218485638825,2.0536733671845187e-08,7.093743547727338e-06
TDRG1,2.525666752211186,2.0706190162108598e-08,7.093743547727338e-06
AC079950.1,2.229498140824506,2.0905185422711677e-08,7.09435217005457e-06
ORC6,1.5274240911915746,2.1200088153073865e-08,7.127192252732459e-06
AC008170.1,2.7120377935278417,2.1769918739445125e-08,7.184472632067156e-06
LINC00623,1.528543513170389,2.1735906705202088e-08,7.184472632067156e-06
AC055878.1,2.0607605723523106,2.3028001573562686e-08,7.326637188484413e-06
TYMSOS,2.3495876984396116,2.2865454634577853e-08,7.326637188484413e-06
SFTA1P,2.2536479853870204,2.2889486347222496e-08,7.326637188484413e-06
LINC01828,2.3080939557406306,2.2494223256319738e-08,7.326637188484413e-06
STARD13-AS,2.0117818593366636,2.3219077045680615e-08,7.326637188484413e-06
AC073046.4,2.5998884192478604,2.3760342371004728e-08,7.432235093650279e-06
IL5RA,2.1553617189035497,2.4684192758185838e-08,7.654653292219492e-06
AC117834.2,2.050626072522739,2.5864619203784842e-08,7.95215454699614e-06
PLCE1-AS1,2.258653315592049,2.6395678810033632e-08,8.046655577580761e-06
LINC01146,2.2560131385936675,2.8028933204017693e-08,8.062771380469752e-06
C6orf58,2.1173256415203654,2.7022374677011182e-08,8.062771380469752e-06
AC104656.1,2.5688201317403583,2.7693712496365622e-08,8.062771380469752e-06
GYPB,2.26109209512314,2.7401850292501746e-08,8.062771380469752e-06
CASR,2.531839757038788,2.7514929713853258e-08,8.062771380469752e-06
AC116096.1,1.66793154571089,2.8241665571533097e-08,8.062771380469752e-06
RMDN2-AS1,2.312981766843924,2.7926352171491572e-08,8.062771380469752e-06
INSC,2.198556424727229,2.781082292936233e-08,8.062771380469752e-06
HRAT17,2.148689812518226,2.8573846881215497e-08,8.093373385914046e-06
CORIN,1.9548415944398567,3.063222328844883e-08,8.178030901596842e-06
SORCS3,2.4996004499105116,2.980897366463313e-08,8.178030901596842e-06
CRB1,1.4128826996226844,2.937134823405513e-08,8.178030901596842e-06
MAFTRR,1.2175670312274158,3.037563160484932e-08,8.178030901596842e-06
LINC00578,1.8535344648179033,3.053055009671458e-08,8.178030901596842e-06
AC104051.1,2.555795834940251,3.09188313859994e-08,8.178030901596842e-06
TRG-AS1,1.6555155506409918,3.079249973472905e-08,8.178030901596842e-06
ANKRD22,2.606914684675212,2.966908565809563e-08,8.178030901596842e-06
SNAP25,2.2460076608852555,3.083917720550307e-08,8.178030901596842e-06
TBR1,2.6506335612534753,3.1511335605556627e-08,8.27168496849684e-06
LINC00237,2.373088994373726,3.206630375948577e-08,8.27168496849684e-06
RPH3A,2.2953436245699512,3.223304292542147e-08,8.27168496849684e-06
HSD17B2,2.488892853254804,3.290825924886348e-08,8.27168496849684e-06
LINC02384,1.7244792748670261,3.195508730831437e-08,8.27168496849684e-06
AL596214.1,1.5113156749981693,3.2697549831799924e-08,8.27168496849684e-06
CYP19A1,2.4259048057376567,3.320586410308431e-08,8.27168496849684e-06
ZNF396,1.1967147422106634,3.334244191126548e-08,8.27168496849684e-06
ACOT12,2.1247067785670257,3.308723582377015e-08,8.27168496849684e-06
KCNG3,2.305866321081482,3.409160559911578e-08,8.291961869601379e-06
LINC00607,2.227283719893334,3.3999924282228436e-08,8.291961869601379e-06
BANK1,1.4609162903914057,3.411571101692995e-08,8.291961869601379e-06
SERPINA10,2.248123535987172,3.46746017693167e-08,8.371240099636648e-06
ASPM,1.5592549261278392,3.522521133629704e-08,8.400480025603264e-06
IL12B,2.3423921970610047,3.571351837461494e-08,8.400480025603264e-06
PKHD1,2.096776819270954,3.5729829976573426e-08,8.400480025603264e-06
LINC00841,1.8393185625482347,3.5352811101070904e-08,8.400480025603264e-06
LINC02516,1.9437406722890402,3.619860715382301e-08,8.455430496995593e-06
AC009236.2,2.105166977679049,3.7172394574242867e-08,8.476249494899588e-06
AIM2,1.7646872507600508,4.056741512305513e-08,8.476249494899588e-06
ACOXL-AS1,1.37592915710708,3.91073153997369e-08,8.476249494899588e-06
BLM,2.0127560073560256,4.2100657693336874e-08,8.476249494899588e-06
KIZ-AS1,2.562091515220267,4.232630845670288e-08,8.476249494899588e-06
