sample_id,Alkaliptosis,Anoikis,Apoptosis,Autophagy,Cuproptosis,Disulfidptosis,Entosis,Ferroptosis,Lysosome_dependent_cell_death,Necroptosis,NETosis,Oxeiptosis,Parthanatos,Pyroptosis,adjusted_two_block_K4,geo_accession,title,subgroup
AB_58,0.4772076536511536,-0.8555353464005533,-0.5128690010227809,1.0281557068371219,0.2840471973486921,-0.01857160088069612,-1.0815391515562143,-1.0249628830584459,0.029175945458701235,-0.3905338785307796,-1.544207769658778,-0.7008126464380566,0.2944003501047763,-1.046105549935734,C1,GSM8059544,"AB_58, Pancreas",Pancreas
AB_59,-0.9988660371970204,-0.2805028671628191,0.5378525251911571,0.9297793929044276,-0.08633880928911473,-0.7299214462861034,-0.483487187548392,-0.22623790527050977,-0.41813552694421474,0.45147321395855466,-0.3684419649555024,0.10325747425434181,-0.25702927181164287,-0.4020930466174838,C4,GSM8059545,"AB_59, Colorectal",Colorectal
AB_60,-0.48262766916000627,0.4150489838304444,-0.9539786670608005,0.16837640182973795,0.9639455693133725,-1.8937113303766864,-0.7729488146626095,0.5236578322770643,0.29559944610375094,-1.2650509769503617,-0.6263797932794192,0.08567179317425695,0.1913757718881028,-0.40789855182188667,C3,GSM8059546,"AB_60, Colorectal",Colorectal
AB_61,0.42345454632418744,-1.0049432480936986,-0.2862390093502594,-1.1332926924010531,-0.10343501342827156,1.1338740801223315,-0.2957582514065282,-0.26320844030940715,1.5205526690906976,0.7906382013794502,0.6224129634196853,0.14286875303491434,1.1720586379846432,-0.5796379767219141,C3,GSM8059547,"AB_61, Colorectal",Colorectal
AB_62,0.9007365610295321,1.430410034993406,0.9136801367650583,-2.1479253287194533,-0.7212123526198239,1.2427941397802518,1.2785292088462832,0.45966471414764504,1.0411837304877782,0.9050376388236607,1.4784216645988293,-1.614571925012633,-1.0157038702778876,1.8859308256802396,C2,GSM8059548,"AB_62, Colorectal",Colorectal
AB_63,-0.4874486565350617,0.6389880709836229,-0.997418515248375,-0.527929047373824,-0.1279634657410363,0.7257192409823272,0.6716463602534682,0.5893058282751847,-0.4573045875457928,-1.1174014634228735,-1.4535906839542299,-1.3416258442196003,-1.5162552727923375,-0.001309619612361915,C4,GSM8059549,"AB_63, Pancreas",Pancreas
AB_64,-0.11125207393541922,1.3106451725889539,-1.3071285989084145,-0.3234255866355401,-0.6320386160072677,1.231726870192813,0.8262348590676593,0.6686122656439363,-0.5151837271583344,0.06104101175432993,-0.2658358098444038,-1.6953797181569983,-0.923174229511043,0.26658672038089565,C3,GSM8059550,"AB_64, Colorectal",Colorectal
AB_65,0.44869269712472337,0.06489742270083416,-0.3912686410480356,0.8264169737214914,0.701921235608694,-0.7447886697461022,-0.6038947135885512,0.59671799045481555,0.2516995158401689,-0.14819157444978426,-2.204417148585663,-0.40471862131380976,0.8093276271238699,-0.538294437466476,C1,GSM8059551,"AB_65, Colorectal",Colorectal
AB_66,-0.09645476492868288,1.018120698480406,-0.540711864965958,-0.14409399797030964,-1.6100947313556473,1.5036777464194782,1.7443836337013463,-0.579939658250884,0.18613432892474432,0.5131680963617259,-0.23334396435792037,-2.225172083092474,-2.0022333107213797,0.0900523044761951,C1,GSM8059552,"AB_66, Pancreas",Pancreas
AB_67,0.2365459774748912,-1.893256704756059,0.0614086411728215,-0.27456004088390495,0.6082567685978244,-2.333895008673981,-0.859580003920156,-0.24357629167971528,-0.8970390665445609,0.04756103690551962,-1.2100551530585146,-0.4737482794342177,0.7162562497403014,-0.9723583449045955,C1,GSM8059553,"AB_67, Colorectal",Colorectal
AB_68,-1.9887907196140067,1.4878856178489785,0.6355851036688116,1.5093582873528344,0.23406991359759463,-1.3102480791051327,-3.022337957062615,-2.348095449311228,1.0446776980938643,-0.293619607012919,-1.3173028747332158,1.7826421413738138,1.5894121669898922,-1.5211415872960279,C1,GSM8059554,"AB_68, Colorectal",Colorectal
AB_69,-0.025030018704535934,1.000137583657257,-0.8682979782787066,0.9895287789737891,-0.6918314053051108,2.6241508102547413,-0.8520567141322349,0.9723113646321512,3.3203476431413397,-1.0124435060080932,-0.13243381612354116,1.331676299073263,0.8259110643039991,0.45038269348739907,C4,GSM8059555,"AB_69, Pancreas",Pancreas
AB_70,1.292048977582838,-0.5993933328734883,-0.5979207908809983,-0.1838387392562459,0.8978617122111489,-0.1728125728947038,-0.6356256900266236,-0.011094757934356637,-0.47379621766718677,-1.1961789633750919,0.05849071720749753,-0.1753096748040016,0.7471038135366626,-1.162360689966805,C3,GSM8059556,"AB_70, Colorectal",Colorectal
AB_71,-0.3891370705467287,-0.16953846190081495,-0.8898422014762999,0.19596770985672093,0.19549992817982592,-0.4023211259243586,-0.24807728340199323,0.919720671146435,-0.5599531459759279,0.8200514715069663,0.24838295513415623,-1.3753452136595443,-0.5262146471752693,-1.1420648024644728,C1,GSM8059557,"AB_71, Colorectal",Colorectal
AB_72,0.28297313202197627,-1.550533855776844,0.9851439143445656,0.0853700082996556,0.6740310581894818,-1.6932624766168665,-0.5627893124275386,0.2730710453409188,-2.3009479353846216,-0.6447879797348925,-0.8268141914761269,-1.1969084534368168,0.6088350609075353,-0.5812730033328944,C1,GSM8059558,"AB_72, Colorectal",Colorectal
AB_73,0.29280056651146213,1.2348150158621112,-1.3476252918563187,0.8178563011271132,-0.8483983328580252,0.5533182446319819,0.2704154777044339,0.7381982332164069,0.33103792954475053,-1.0683806273574639,-1.4403231529513807,1.7129418291089933,0.4536436991926521,-0.30121623587086777,C3,GSM8059559,"AB_73, Colorectal",Colorectal
